state,date,staffed_pediatric_icu_bed_occupancy,total_staffed_pediatric_icu_beds,pediatric_icu_occupancy_percent
DC,2021-10-18,7.0,10.0,70.0
NH,2021-10-09,28.0,39.0,71.79
DE,2021-10-07,122.0,172.0,70.93
AK,2021-09-30,46.0,64.0,71.88
VI,2021-09-30,0.0,6.0,0.0
VI,2021-09-29,0.0,6.0,0.0
WV,2021-09-29,132.0,159.0,83.02
WA,2021-09-27,281.0,426.0,65.96
AK,2021-09-26,42.0,59.0,71.19
VT,2021-09-25,19.0,33.0,57.58
VI,2021-09-23,0.0,6.0,0.0
PR,2021-09-22,178.0,362.0,49.17
SD,2021-09-20,54.0,93.0,58.06
RI,2021-09-19,69.0,85.0,81.18
RI,2021-09-17,78.0,86.0,90.7
VI,2021-09-15,0.0,6.0,0.0
VT,2021-09-12,20.0,33.0,60.61
UT,2021-09-08,238.0,409.0,58.19
CT,2021-09-07,189.0,336.0,56.25
NE,2021-09-06,54.0,68.0,79.41
VI,2021-09-02,0.0,6.0,0.0
DE,2021-09-01,109.0,172.0,63.37
VI,2021-09-01,0.0,6.0,0.0
OH,2021-08-31,125.0,374.0,33.42
VI,2021-08-28,0.0,6.0,0.0
VI,2021-08-27,0.0,6.0,0.0
VI,2021-08-25,0.0,6.0,0.0
VI,2021-08-11,0.0,6.0,0.0
VI,2021-08-10,0.0,6.0,0.0
RI,2021-08-04,84.0,96.0,87.5
AK,2021-08-01,49.0,59.0,83.05
CT,2021-07-26,204.0,337.0,60.53
NH,2021-07-26,28.0,39.0,71.79
NH,2021-07-23,23.0,39.0,58.97
HI,2021-07-21,64.0,94.0,68.09
CT,2021-07-19,197.0,336.0,58.63
VT,2021-07-17,17.0,33.0,51.52
VT,2021-07-15,17.0,33.0,51.52
RI,2021-07-13,67.0,96.0,69.79
DC,2021-07-12,10.0,18.0,55.56
DE,2021-07-11,117.0,172.0,68.02
ME,2021-07-11,22.0,23.0,95.65
VT,2021-07-11,15.0,33.0,45.45
DC,2021-07-10,11.0,18.0,61.11
NH,2021-07-10,25.0,39.0,64.1
AK,2021-07-09,56.0,68.0,82.35
ME,2021-07-08,16.0,24.0,66.67
ND,2021-07-06,31.0,56.0,55.36
RI,2021-07-06,63.0,96.0,65.62
DC,2021-07-05,24.0,28.0,85.71
MT,2021-07-04,24.0,44.0,54.55
ME,2021-07-03,13.0,17.0,76.47
RI,2021-07-03,66.0,96.0,68.75
AK,2021-06-30,46.0,57.0,80.7
DC,2021-06-30,1.0,10.0,10.0
VT,2021-06-30,19.0,33.0,57.58
NH,2021-06-29,27.0,39.0,69.23
SD,2021-06-29,29.0,85.0,34.12
CT,2021-06-24,205.0,338.0,60.65
KS,2021-06-24,91.0,281.0,32.38
ME,2021-06-23,23.0,22.0,104.55
AK,2021-06-22,44.0,53.0,83.02
WV,2021-06-20,113.0,153.0,73.86
DE,2021-06-19,125.0,172.0,72.67
RI,2021-06-19,69.0,76.0,90.79
AK,2021-06-17,44.0,59.0,74.58
MT,2021-06-16,8.0,18.0,44.44
VI,2023-04-30,0.0,3.0,0.0
WY,2023-04-30,1.0,1.0,100.0
VT,2023-04-26,1.0,2.0,50.0
VI,2023-04-22,0.0,3.0,0.0
OK,2023-04-21,50.0,90.0,55.56
VI,2023-04-15,0.0,3.0,0.0
VI,2023-04-14,0.0,3.0,0.0
VI,2023-04-13,0.0,3.0,0.0
VI,2023-04-12,0.0,3.0,0.0
RI,2023-04-11,77.0,81.0,95.06
MT,2023-04-10,6.0,31.0,19.35
NE,2023-04-08,74.0,101.0,73.27
WV,2023-04-07,36.0,45.0,80.0
NH,2023-04-06,7.0,8.0,87.5
NH,2023-04-04,7.0,8.0,87.5
AK,2023-04-02,3.0,5.0,60.0
NH,2023-04-02,6.0,8.0,75.0
VI,2023-04-01,0.0,3.0,0.0
VI,2023-03-12,0.0,3.0,0.0
VI,2023-03-05,0.0,3.0,0.0
VI,2023-03-04,0.0,3.0,0.0
VI,2023-03-01,0.0,3.0,0.0
VI,2023-02-25,0.0,3.0,0.0
VI,2023-02-21,0.0,3.0,0.0
VI,2023-02-09,0.0,3.0,0.0
VT,2023-01-16,2.0,4.0,50.0
VT,2023-01-07,5.0,4.0,125.0
AK,2023-01-04,9.0,9.0,100.0
VI,2022-12-25,0.0,3.0,0.0
VI,2022-12-16,0.0,3.0,0.0
VI,2022-12-15,0.0,3.0,0.0
VI,2022-12-14,0.0,6.0,0.0
VI,2022-12-13,0.0,6.0,0.0
VI,2022-12-11,0.0,6.0,0.0
VI,2022-12-10,0.0,6.0,0.0
VI,2022-12-08,0.0,6.0,0.0
VI,2022-12-05,0.0,6.0,0.0
VI,2022-12-04,0.0,6.0,0.0
VI,2022-12-03,0.0,6.0,0.0
VI,2022-12-02,0.0,6.0,0.0
VI,2022-11-30,0.0,6.0,0.0
VI,2022-11-28,0.0,6.0,0.0
VI,2022-11-14,0.0,6.0,0.0
VI,2022-11-01,0.0,6.0,0.0
VT,2022-10-25,3.0,4.0,75.0
VT,2022-10-23,0.0,4.0,0.0
VT,2022-10-19,0.0,4.0,0.0
AK,2022-10-16,11.0,10.0,110.0
VI,2022-10-13,2.0,6.0,33.33
VT,2022-10-12,1.0,4.0,25.0
VI,2022-10-10,1.0,6.0,16.67
VI,2022-10-09,1.0,6.0,16.67
VI,2022-10-07,0.0,6.0,0.0
VI,2022-10-05,0.0,6.0,0.0
VI,2022-10-02,0.0,6.0,0.0
VI,2022-10-01,0.0,6.0,0.0
VI,2022-09-30,0.0,6.0,0.0
VI,2022-09-29,0.0,6.0,0.0
VI,2022-09-28,0.0,6.0,0.0
VI,2022-09-26,0.0,6.0,0.0
VI,2022-09-25,0.0,6.0,0.0
VI,2022-09-23,0.0,6.0,0.0
DE,2022-09-22,67.0,74.0,90.54
